author_handle,content,published_at,like_count,reply_count,parent_id,is_reply
@16-gu-Gap,"<a href=""https://www.youtube.com/watch?v=hJ9epllkD-s&amp;t=625"">10:25</a> 썸넬",2024-11-22T06:33:18Z,207,7.0,,False
@beomgiljeon,선생님 감사합니다.,2024-11-23T14:17:08Z,2,,UgygjCCfwyufXvnzPa14AaABAg,True
@웡카-i3c,이게 왜 일억뷰임?,2024-11-24T06:28:31Z,0,,UgygjCCfwyufXvnzPa14AaABAg,True
@정민서-y7b,​@웡카-i3c 그냥 몸 보는 거져,2024-11-24T10:57:21Z,2,,UgygjCCfwyufXvnzPa14AaABAg,True
@hugo1007-s2t,감사해용,2024-11-25T06:08:45Z,0,,UgygjCCfwyufXvnzPa14AaABAg,True
@ND-yn2kc,@웡카-i3c댕꼴리잖아,2024-11-26T04:26:53Z,0,,UgygjCCfwyufXvnzPa14AaABAg,True
@Kkbfewhi,이거보면 1억뷰 영상 안봐도됨?,2024-11-27T03:33:58Z,0,,UgygjCCfwyufXvnzPa14AaABAg,True
@fullfanfick2314,나두 이거만 보러옴,2026-01-13T14:07:17Z,0,,UgygjCCfwyufXvnzPa14AaABAg,True
@조이-k8y,"<a href=""https://www.youtube.com/watch?v=hJ9epllkD-s&amp;t=397"">6:37</a> 일오팔 잘생김",2024-11-23T15:08:49Z,37,0.0,,False
@임지우-j5x,"<a href=""https://www.youtube.com/watch?v=hJ9epllkD-s&amp;t=1818"">30:18</a> 일오팔 팔 쓸린게 개웃기넼ㅋㅋㅋㅋㅋ",2024-11-21T12:36:42Z,220,1.0,,False
@l9야뎡gd풀버전r4,슛포러브의 기획력은 정말 놀라울 만큼 대단합니다. 항상 기대되는 컨텐츠를 제공해 주어서 정말 고마워요!,2025-03-21T15:30:18Z,1,,UgwLHABVRKHdqdYaAsp4AaABAg,True
@ellykim4105,최인호님은 풋살 할때도 매너없이 상대앞에서 몸을 맞추는 슛합니다. 상대한테 질때마다 열받아서 그런지는 모르겠으나 고의성이 다분하고 맞추고 사과도 안합니다. 양천구에서 소문이 자자한 분이라.. 안보고 싶네요,2024-11-25T16:46:47Z,177,15.0,,False
@kelvin-ZD,하이루😍,2024-11-26T00:10:46Z,4,,UgxXhuVpnHEqr9Duepp4AaABAg,True
@Lee-gr3bp,빈골대에도 못넣는 형편없는 실력인데 그럴리가..  일부러 맞춘건 아닐거 같아요.,2024-11-26T03:40:40Z,11,,UgxXhuVpnHEqr9Duepp4AaABAg,True
@Donut_joa,몇 분에 나오나요?,2024-11-29T14:18:12Z,4,,UgxXhuVpnHEqr9Duepp4AaABAg,True
@ellykim4105,​​@Donut_joa6분3초에 한번 더 찰수 없냐면서 눈치도 없고 파렴치한 행동을 하네요. 심지어 두번째 시도한 슈팅마저 유효슈팅이 안납니다.. 심사위원분도 한마디 하네요. 맞뒈슛 컨셉이라고 본인 스스로 언급한거보면 본인팀이 현저히 지고 있는 상황에서도 야골라서 상대팀 엿먹이려는 속셈인 것 같습니다..,2024-11-29T16:49:53Z,15,,UgxXhuVpnHEqr9Duepp4AaABAg,True
@머로하지-y1g,최인호 잘알죠..,2024-12-01T15:41:25Z,11,,UgxXhuVpnHEqr9Duepp4AaABAg,True
