author_handle,content,published_at,like_count,reply_count,parent_id,is_reply
@임홍홍,이거 B급 느낌나는데 ㅈㄴ 재밌음 ㅋㅋ,2025-05-31T13:31:54Z,1,0.0,,False
@0616._yuso,그래서 넷플릭스에 올라오나요? 올라오면 언제 올라오나요,2025-06-18T11:31:40Z,0,0.0,,False
@23501i,이식 후에 젊음능력생기고 회복능력흡수했는데 엄청 강하고 초능력자랑 싸워도 싸움을 잘하게된 이유는 뭔가요?,2025-08-18T01:11:40Z,0,0.0,,False
@coolguy0326,그럼 저 장기를 다 가지고 있던 사람은 얼마나 강한거야?,2025-06-03T06:43:20Z,0,0.0,,False
@bagtaebag_1112,각막 이식자 왜 안나옴,2025-06-25T22:59:02Z,0,0.0,,False
@이웅주-e4h,주성치가 봅니다😅😅😅,2025-05-31T16:44:14Z,0,0.0,,False
@happysajang,또 안재홍이야 ㅋㅋㅋㅋ,2025-06-04T12:57:36Z,0,0.0,,False
@girl3024,빌런이 간이식해서 젊어진거 까진 이해하는데 왜 힘까지 쎄진거야?,2025-06-11T15:49:08Z,0,0.0,,False
@junybono,더문도 재미있다고 했잖아요 ㅋㅋㅋㅋㅋ,2025-05-30T11:18:29Z,0,0.0,,False
@fkaus4456,아니 유아인은 왜 빼고 소개함? 유아인 개웃기게 나오는데ㅠㅠㅠㅠ,2025-06-15T17:27:53Z,0,0.0,,False
@동부삼촌동,식스맨은 누구지?,2025-05-31T05:18:04Z,0,0.0,,False
@carlosalbertoarevalosolis1332,PUEDE HACER EN ESPAÑOL PORFAVOR PARA LATINO AMERICA SE LO AGRADECERIA MUCHO GRACIAS,2025-06-21T01:04:25Z,0,0.0,,False
@햄스-l1r,이것만 보고 가서 유아인 나오는줄 몰랐음,2025-06-10T00:56:13Z,0,0.0,,False
@Hazel2e91,"아니 근데 빌런이 힘이 세지고 쌈짱 된게 이해 안되는데, 나인걸 초능력은 안 가져갔는데 어케 저렇게 쎄진거지",2025-06-24T21:35:52Z,0,0.0,,False
